Don't Let Me Down,The Chainsmokers,160,87,53,-5,14,42,208,16,17
In the Name of Love,Martin Garrix,134,52,50,-6,45,17,196,11,4
Into You,Ariana Grande,108,73,62,-6,14,37,244,2,11
This Is What You Came For,Calvin Harris,124,93,63,-3,15,47,222,20,3
Million Reasons,Lady Gaga,130,42,67,-8,11,15,205,49,4
Needed Me,Rihanna,111,31,67,-8,8,30,192,11,24
7 Years,Lukas Graham,120,47,77,-6,39,34,237,29,5
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,113,83,67,-6,19,70,236,1,7
Work from Home (feat. Ty Dolla $ign),Fifth Harmony,105,59,80,-6,6,59,214,10,4
Scars To Your Beautiful,Alessia Cara,97,74,57,-6,11,45,230,3,13
Like I'm Gonna Lose You (feat. John Legend),Meghan Trainor,108,53,63,-7,18,42,225,40,4
Work,Rihanna,92,53,73,-6,9,56,219,8,9
Stitches,Shawn Mendes,150,75,75,-7,5,76,207,2,7
"Me, Myself & I",G-Eazy,112,67,76,-7,16,38,251,2,10
I Took A Pill In Ibiza - Seeb Remix,Mike Posner,102,71,66,-7,8,69,198,4,11
Dangerous Woman,Ariana Grande,134,60,66,-5,36,29,236,5,4
Starving,Hailee Steinfeld,100,62,73,-4,11,51,182,38,6
